ChampionName,GamesPlayed,Win,KDA,kills,deaths,assists,GoldPerMin,DmgPerMin
Vladimir,511,0.461839530332681,2.803382278287309,5.876712328767123,5.313111545988258,5.02348336594912,413.6962713566399,887.5514197658222
Ambessa,508,0.4448818897637795,2.6929011932948943,5.397637795275591,5.549212598425197,5.167322834645669,402.449138515715,825.4485995346105
Janna,497,0.48088531187122735,5.356203850922161,1.3963782696177063,4.551307847082495,14.327967806841047,284.8571416368082,274.5530025645591
Chogath,492,0.4878048780487805,3.2909224188187602,6.510162601626016,5.402439024390244,5.520325203252033,405.04109210587796,768.0141742399776
Hwei,491,0.48065173116089616,3.4796656895944063,5.505091649694501,5.562118126272912,7.896130346232179,401.58120492788186,864.3894984028273
Rell,483,0.5383022774327122,5.167371747185412,2.1739130434782608,5.546583850931677,16.73913043478261,295.3504199979956,316.96803387448284
Shaco,482,0.46265560165975106,3.2080011767518997,6.402489626556017,6.406639004149378,8.885892116182573,375.7143550652185,671.4096503138412
Velkoz,481,0.4885654885654886,3.7010204885204887,5.708939708939709,5.9002079002079,8.900207900207901,363.1429757534277,849.2687394568969
KSante,480,0.4583333333333333,2.6759056163743664,4.335416666666666,5.208333333333333,5.610416666666667,380.1203842553768,683.9865789026533
Kayle,479,0.5636743215031316,2.7504475517523534,6.093945720250522,5.649269311064718,5.546972860125261,442.42572921057075,781.8416597676095
Alistar,462,0.4696969696969697,3.3280571340636276,1.4458874458874458,6.337662337662338,14.067099567099566,278.0274804221269,292.9569573780036
Aurora,461,0.49023861171366595,4.025694972658096,6.596529284164859,4.845986984815618,6.318872017353579,412.53213085666624,908.2619137764061
Xerath,456,0.4824561403508772,4.279186359449517,5.407894736842105,5.083333333333333,9.013157894736842,378.37674035808107,812.5428849131047
Shen,455,0.5582417582417583,3.8516409780695495,4.081318681318681,5.2505494505494505,10.173626373626373,358.43226047196924,604.8600419681721
Aatrox,453,0.45695364238410596,2.6099985800316925,4.97130242825607,5.732891832229581,4.874172185430464,395.77927662169293,789.896383238596
Galio,450,0.5577777777777778,4.334823152156486,4.266666666666667,5.182222222222222,10.7,374.2089937794758,650.9681529404339
Senna,450,0.4822222222222222,4.298638544099329,4.171111111111111,5.826666666666667,11.948888888888888,361.95484309068144,624.3593164666087
Kayn,445,0.48764044943820223,3.105676615555994,7.606741573033708,6.687640449438202,6.8,420.92224211886025,727.0650477716127
Warwick,439,0.48291571753986334,2.511163164630269,7.28246013667426,7.41002277904328,6.011389521640091,404.4320092294505,701.6574585586221
Rakan,437,0.5240274599542334,4.578710083458367,1.6270022883295194,5.276887871853547,14.791762013729977,287.30547722497937,281.4495012336632
Ryze,436,0.5389908256880734,3.451926482029693,5.348623853211009,4.990825688073395,6.263761467889908,430.7710995814704,841.3693026080754
Sett,435,0.4735632183908046,2.5135225750134476,7.135632183908046,6.919540229885057,5.480459770114942,419.22142536426753,920.5441612424382
Irelia,435,0.4689655172413793,2.2384902071108965,6.680459770114942,7.213793103448276,4.7172413793103445,461.4768875841845,795.1200349989048
Jayce,432,0.5138888888888888,2.792292121458788,6.5092592592592595,6.152777777777778,5.949074074074074,435.84385372863295,899.2265679889077
Twitch,426,0.45774647887323944,2.6803886014597653,9.06338028169014,7.28169014084507,6.23943661971831,425.9464855403637,872.1887366438708
Vi,423,0.5059101654846335,3.7822012502863567,6.633569739952718,5.756501182033097,8.57210401891253,407.985315175088,587.9453120361889
Veigar,420,0.4666666666666667,3.0796889361805326,6.619047619047619,5.6761904761904765,5.821428571428571,422.6266177868269,823.704248401595
Fiora,419,0.5250596658711217,2.572607874755846,6.312649164677804,6.229116945107399,4.458233890214797,448.1747031192417,847.9235906859975
Rengar,418,0.5406698564593302,3.659713515485047,8.727272727272727,5.94976076555024,6.287081339712919,445.4505118108341,705.7202826004126
Draven,415,0.5156626506024097,2.866170635412308,8.57590361445783,6.443373493975904,5.195180722891566,484.0154366736068,880.2244631730389
MonkeyKing,411,0.49391727493917276,4.1959986282978985,6.598540145985401,5.257907542579075,7.815085158150851,408.16513597617814,628.0326379446103
Naafiri,408,0.4877450980392157,4.207987056516468,6.950980392156863,5.254901960784314,6.786764705882353,425.21894204981317,723.2643571838149
Ziggs,398,0.5376884422110553,3.9286506067913103,6.062814070351759,5.221105527638191,7.839195979899498,432.8979963256608,939.2906236152432
Varus,397,0.48866498740554154,2.8931586116094934,7.065491183879093,6.10831234256927,6.4634760705289676,420.8676645044449,804.9929647712148
Renekton,393,0.48346055979643765,2.57557441851335,5.559796437659033,5.804071246819339,5.656488549618321,423.31047561856155,767.0651111740314
Yorick,390,0.5333333333333333,2.645544918044918,3.9461538461538463,4.705128205128205,4.656410256410257,421.42743965983243,763.9309684573913
Seraphine,388,0.5824742268041238,5.057119655830996,3.685567010309278,5.59020618556701,14.396907216494846,329.81754640751694,511.6282585143943
Corki,384,0.5807291666666666,3.7633306669841597,7.041666666666667,5.34375,6.630208333333333,447.90294572377144,859.7213554681263
Zoe,383,0.5169712793733682,3.627114771608705,7.010443864229765,6.023498694516971,7.845953002610966,398.4599386039075,865.3827399102644
Poppy,379,0.5989445910290238,4.00848000577552,3.8891820580474934,5.258575197889182,10.021108179419524,342.1258299227947,560.2451076518123
Khazix,375,0.568,3.9431334073334074,8.762666666666666,5.493333333333333,6.1066666666666665,447.565644050113,725.2488611408481
Xayah,372,0.48655913978494625,3.4740930506347967,6.448924731182796,5.287634408602151,6.231182795698925,439.8788369245984,809.1545569668332
Neeko,369,0.5447154471544715,3.890883897794467,4.609756097560975,5.772357723577236,10.121951219512194,351.92840799959106,652.3991273294271
Nidalee,352,0.45738636363636365,4.499926627980606,5.610795454545454,5.357954545454546,10.420454545454545,380.2812946169632,594.166550423613
Teemo,347,0.49279538904899134,2.79260354571395,5.512968299711815,5.945244956772334,6.371757925072046,388.72234317690794,881.5636496664283
Braum,346,0.5289017341040463,4.358572721433993,1.4595375722543353,5.76878612716763,16.04913294797688,283.22781270031277,305.83419053850736
Blitzcrank,343,0.4489795918367347,3.607758867306972,2.309037900874636,6.437317784256559,13.393586005830905,281.3766753407667,346.6405242614899
Quinn,339,0.5221238938053098,2.9079938784584805,8.96755162241888,7.185840707964601,6.887905604719764,436.4431311504677,918.989502298362
Malzahar,332,0.5421686746987951,2.9905482235301513,4.942771084337349,6.009036144578313,8.018072289156626,415.02874399054076,790.2753224779377
Gnar,331,0.5075528700906344,2.577331253841828,5.039274924471299,5.8700906344410875,5.722054380664653,410.0241722636168,813.409128425737
Soraka,327,0.5412844036697247,3.967614122201278,0.9388379204892966,5.538226299694189,15.4434250764526,277.38916677643124,221.56010119665032
MasterYi,324,0.4351851851851852,2.3618967804969984,7.783950617283951,7.175925925925926,5.200617283950617,424.2630528892571,683.1919319807314
Hecarim,318,0.5283018867924528,5.215900416843813,6.908805031446541,5.053459119496855,8.578616352201259,448.17576166130806,671.5625388729794
Brand,313,0.4536741214057508,2.9571654879397786,5.207667731629393,7.159744408945687,9.501597444089457,374.07700714771374,853.2255441626723
Kindred,309,0.5145631067961165,3.5526010756593283,7.213592233009709,5.760517799352751,6.229773462783172,438.71783156762547,728.2634192485094
Sona,309,0.5501618122977346,4.302160918908491,2.796116504854369,5.996763754045308,15.174757281553399,305.4351437588437,445.90789660645163
Riven,305,0.5672131147540984,3.5657408984458163,7.754098360655738,5.524590163934426,4.642622950819672,448.5583235976768,798.0278282453303
Ornn,302,0.44370860927152317,3.55013390766702,3.3741721854304636,4.821192052980132,7.698675496688741,365.32546763504325,655.4306571509811
Gragas,301,0.47840531561461797,3.4858345143228866,4.574750830564784,5.116279069767442,6.514950166112957,386.36017055378323,670.4107296993838
Graves,299,0.4414715719063545,3.6546647239791055,7.60200668896321,5.812709030100335,6.605351170568562,446.18621762174837,735.4613205365702
Nasus,296,0.5574324324324325,3.2759910134910135,5.547297297297297,5.195945945945946,5.760135135135135,413.717730874701,703.3574887474849
Amumu,296,0.5371621621621622,3.4740524209274213,4.611486486486487,6.0641891891891895,11.22635135135135,375.1632707572536,565.3833664240609
Urgot,295,0.4576271186440678,2.6406017805170348,6.972881355932204,6.240677966101695,4.688135593220339,435.9422596634218,819.1388319181276
Nunu,293,0.48464163822525597,4.8898377457193,4.84641638225256,6.539249146757679,11.631399317406144,390.011116473526,549.8124859178045
KogMaw,293,0.49146757679180886,3.1420514260104704,7.51877133105802,6.460750853242321,7.184300341296928,429.78695395426894,978.8436632433568
Trundle,289,0.5813148788927336,4.038790803583192,5.813148788927336,5.640138408304498,7.3321799307958475,426.1833993060449,606.657700812968
Nocturne,287,0.5679442508710801,4.4156820338005005,7.494773519163763,5.421602787456446,8.67247386759582,434.14099980534075,633.7849702062024
Zeri,287,0.5017421602787456,3.3271480938728324,8.29965156794425,5.815331010452962,6.508710801393728,463.23916681843696,898.1841985824989
Azir,287,0.4808362369337979,2.610320685213081,5.344947735191638,5.818815331010453,5.613240418118467,416.26578725259066,778.281345983357
Fizz,284,0.5316901408450704,3.8381928671773005,8.204225352112676,5.492957746478873,5.119718309859155,433.0808656145395,746.6582773162844
Taliyah,279,0.5053763440860215,3.534709903210852,5.663082437275985,6.318996415770609,9.275985663082437,417.840630848032,865.0281892263667
Elise,276,0.5398550724637681,3.809947960891056,7.768115942028985,6.5398550724637685,9.05072463768116,391.03668352645695,725.1829761203445
Cassiopeia,273,0.5091575091575091,3.1108429726561595,5.538461538461538,5.787545787545787,6.131868131868132,410.40899271029656,806.8517515810552
